node_id,shape_id,x,y,radius
0,1,404,5,8.94427190999916
1,1,394,7,11.661903789690601
2,1,384,9,13.92838827718412
3,1,378,10,15.652475842498529
4,1,368,12,18.027756377319946
5,1,357,14,20.615528128088304
6,1,346,16,22.847319317591726
7,1,340,17,24.166091947189145
8,1,334,18,25.495097567963924
9,1,328,19,26.832815729997478
10,1,322,20,28.653097563788805
11,1,316,21,31.064449134018133
12,1,308,23,34.655446902326915
13,1,302,25,37.48332962798263
14,1,296,27,40.311288741492746
15,1,288,35,41.86884283091664
16,1,273,36,31.953090617340916
