shape_id,type,x,y,semi_major,semi_minor,angle
3,node,1019,52,65.0,65.0,0.0
3,node,933,251,24.0,24.0,0.0
3,midpoint,1006,153,42.0,28.0,104.03624346792648
4,node,473,74,36.0,36.0,0.0
6,node,15,209,14.0,14.0,0.0
13,node,569,598,37.0,37.0,0.0
16,node,312,727,41.0,41.0,0.0
16,node,658,791,30.0,30.0,0.0
16,node,310,827,28.0,28.0,0.0
16,node,559,835,36.0,36.0,0.0
16,node,747,859,18.0,18.0,0.0
16,midpoint,312,777,34.792240514229604,23.194827009486403,90.0
16,midpoint,438,768,37.04726710568541,24.698178070456937,53.13010235415598
16,midpoint,608,818,12.093386622447824,8.06225774829855,165.96375653207352
16,midpoint,709,813,20.402205763103165,13.601470508735444,36.86989764584402
16,midpoint,390,732,23.286262044390035,15.524174696260024,14.036243467926479
16,midpoint,659,791,42.42640687119285,28.284271247461902,14.036243467926479
