Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
6,"(727,312)",8,"(827,310)",100.02000,e28,"(466,226)",274.80357
7,"(791,658)",9,"(835,559)",108.33744,e38,"(758,653)",33.37664
1,"(52,1019)",null,null,null,e1,"(1,944)",90.69730
2,"(74,473)",null,null,null,e0,"(0,429)",86.09297
3,"(209,15)",null,null,null,e8,"(146,140)",139.97857
4,"(251,933)",null,null,null,e13,"(229,844)",91.67879
5,"(598,569)",null,null,null,e24,"(364,476)",251.80349
8,"(827,310)",null,null,null,e42,"(829,299)",11.18034
9,"(835,559)",null,null,null,e48,"(901,523)",75.17978
10,"(859,747)",null,null,null,e35,"(674,917)",251.24689
