shape_name,shape_id,pair_id,geodesic_length,average_width
ctrl_1_trab.._Raw import  W0.00 L0.00_020,1,1,158,44.75028193149961
ctrl_1_trab.._Raw import  W0.00 L0.00_020,2,2,52,39.18192901123029
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,3,75,73.17097757282784
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,4,118,76.2561952594829
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,5,201,67.48235173998363
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,6,216,65.78527950711025
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,7,221,65.31875198603316
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,8,15,43.25297385145278
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,9,21,44.06035861012155
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,10,275,68.58423478484809
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,11,318,70.35342238545964
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,12,193,74.75816106605166
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,13,290,67.26192234427596
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,14,295,66.88708341229982
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,15,333,69.12189324110136
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,16,338,68.76716705128109
ctrl_1_trab.._Raw import  W0.00 L0.00_020,3,17,35,43.371540862386624
ctrl_1_trab.._Raw import  W0.00 L0.00_020,4,18,3,71.5
ctrl_1_trab.._Raw import  W0.00 L0.00_020,4,19,30,69.57742888398967
ctrl_1_trab.._Raw import  W0.00 L0.00_020,4,20,125,41.30146389362495
ctrl_1_trab.._Raw import  W0.00 L0.00_020,4,21,32,69.66364531526301
ctrl_1_trab.._Raw import  W0.00 L0.00_020,5,22,124,30.32540044982828
ctrl_1_trab.._Raw import  W0.00 L0.00_020,6,23,3,34.48290802394686
ctrl_1_trab.._Raw import  W0.00 L0.00_020,6,24,14,27.900804224701645
ctrl_1_trab.._Raw import  W0.00 L0.00_020,6,25,24,23.786791257338635
ctrl_1_trab.._Raw import  W0.00 L0.00_020,6,26,16,28.85141208567233
ctrl_1_trab.._Raw import  W0.00 L0.00_020,6,27,38,25.183093671468054
ctrl_1_trab.._Raw import  W0.00 L0.00_020,6,28,26,24.690063834050775
ctrl_1_trab.._Raw import  W0.00 L0.00_020,7,29,56,19.43316039605449
ctrl_1_trab.._Raw import  W0.00 L0.00_020,8,30,64,22.83697745483375
ctrl_1_trab.._Raw import  W0.00 L0.00_020,9,31,112,28.653414603875362
ctrl_1_trab.._Raw import  W0.00 L0.00_020,10,32,5,8.820950679199358
ctrl_1_trab.._Raw import  W0.00 L0.00_020,11,33,70,43.34903935120134
ctrl_1_trab.._Raw import  W0.00 L0.00_020,12,34,243,38.2560915093885
ctrl_1_trab.._Raw import  W0.00 L0.00_020,13,35,4,76.87234595638168
ctrl_1_trab.._Raw import  W0.00 L0.00_020,13,36,101,59.78535351751392
ctrl_1_trab.._Raw import  W0.00 L0.00_020,13,37,154,33.350464292611065
ctrl_1_trab.._Raw import  W0.00 L0.00_020,13,38,157,34.13313297539518
ctrl_1_trab.._Raw import  W0.00 L0.00_020,13,39,254,43.555997408301764
ctrl_1_trab.._Raw import  W0.00 L0.00_020,13,40,105,60.391684329479496
ctrl_1_trab.._Raw import  W0.00 L0.00_020,14,41,64,42.82323567854798
ctrl_1_trab.._Raw import  W0.00 L0.00_020,15,42,3,15.146901980013183
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,43,100,57.553660298414606
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,44,110,57.28037410721893
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,45,255,55.23840548845144
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,46,441,55.692485052070644
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,47,33,50.403021525527706
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,48,99,37.06242279642379
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,49,101,34.66751065933279
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,50,173,39.29213666642016
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,51,11,54.86157672927283
ctrl_1_trab.._Raw import  W0.00 L0.00_020,16,52,66,42.28966476185029
