Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
8,"(449,227)",9,"(483,226)",34.01470,],"(249,240)",200.42205
9,"(483,226)",13,"(549,267)",77.69813,null,null,null
9,"(483,226)",14,"(571,202)",91.21403,null,null,null
10,"(485,426)",16,"(571,340)",121.62237,Z,"(235,414)",250.28783
11,"(508,591)",12,"(537,532)",65.74192,i,"(398,535)",123.43419
13,"(549,267)",15,"(571,238)",36.40055,null,null,null
13,"(549,267)",16,"(571,340)",76.24303,null,null,null
14,"(571,202)",15,"(571,238)",36.00000,null,null,null
14,"(571,202)",17,"(617,155)",65.76473,null,null,null
16,"(571,340)",18,"(627,335)",56.22277,null,null,null
17,"(617,155)",22,"(671,162)",54.45181,null,null,null
19,"(647,31)",21,"(667,31)",20.00000,null,null,null
20,"(666,475)",24,"(689,542)",70.83784,null,null,null
25,"(771,364)",29,"(796,359)",25.49510,null,null,null
25,"(771,364)",28,"(796,461)",100.16986,null,null,null
26,"(778,894)",39,"(867,843)",102.57680,x,"(668,1125)",255.85347
27,"(793,591)",32,"(838,658)",80.70936,,"(760,600)",34.20526
27,"(793,591)",31,"(809,517)",75.70997,,"(760,600)",34.20526
28,"(796,461)",31,"(809,517)",57.48913,null,null,null
28,"(796,461)",36,"(856,447)",61.61169,null,null,null
28,"(796,461)",37,"(864,449)",69.05071,null,null,null
28,"(796,461)",35,"(854,410)",77.23341,null,null,null
29,"(796,359)",35,"(854,410)",77.23341,null,null,null
29,"(796,359)",34,"(842,260)",109.16501,null,null,null
30,"(798,14)",40,"(876,30)",79.62412,~,"(740,63)",75.92760
31,"(809,517)",38,"(867,512)",58.21512,,"(748,522)",61.20457
33,"(842,226)",34,"(842,260)",34.00000,,"(786,211)",57.97413
35,"(854,410)",36,"(856,447)",37.05401,,"(869,399)",18.60108
35,"(854,410)",37,"(864,449)",40.26164,,"(869,399)",18.60108
36,"(856,447)",37,"(864,449)",8.24621,null,null,null
36,"(856,447)",38,"(867,512)",65.92420,null,null,null
37,"(864,449)",38,"(867,512)",63.07139,,"(900,464)",39.00000
1,"(22,155)",null,null,null,B,"(1,185)",36.61967
2,"(25,926)",null,null,null,A,"(0,959)",41.40048
3,"(69,5)",null,null,null,H,"(65,19)",14.56022
4,"(204,803)",null,null,null,G,"(39,709)",189.89734
5,"(242,24)",null,null,null,U,"(209,115)",96.79876
6,"(315,725)",null,null,null,\,"(246,615)",129.84991
7,"(391,52)",null,null,null,d,"(387,136)",84.09518
15,"(571,238)",null,null,null,w,"(592,248)",23.25941
21,"(667,31)",null,null,null,z,"(695,3)",39.59798
22,"(671,162)",null,null,null,{,"(713,124)",56.63921
23,"(675,786)",null,null,null,s,"(513,1031)",293.71585
24,"(689,542)",null,null,null,y,"(678,550)",13.60147
32,"(838,658)",null,null,null,,"(901,611)",78.60025
38,"(867,512)",null,null,null,,"(902,565)",63.51378
39,"(867,843)",null,null,null,,"(872,795)",48.25971
40,"(876,30)",null,null,null,,"(889,27)",13.34166
